image	caption
/content/MediaEval_NewsImages/Training Dataset/UVFQAQgOU0B-XR8FAA5SD1oBR31RSVdQ.jpg	Fox News leaves employees who called Biden Möchtegern-Diktator A producer of the U.S. station Fox News has been dismissed after he had left a banner on which Biden was called Möchtegern dictator during the transfer of a speech by Joe Biden after the prosecution against his predecessor Donald Trump.
/content/MediaEval_NewsImages/Training Dataset/UVFQAQpeUxApUUFXBgtXC10DQi8BSlBR.jpg	Day of the Bundeswehr: Wehrmacht Högl wants to make military an important part of schooling The Zeitenwende: While the Air Defender 2023 air gun maneuver has been providing additional noise in the sky for almost a week and the Bundeswehr is now on a promotional tour, the German Bundestag's teacher officer speaks for more military in the educational institutions.
/content/MediaEval_NewsImages/Training Dataset/UVFQAQpYVkYpUUFXBgtSClwGQHkGQFYG.jpg	St. Petersburg Economic Forum: Contracts worth EUR 42 billion Saturday is 26th International Economic Form of Saint Petersburg (SPIEF). More than 17,000 people from 130 countries attended the four-day event. More than 900 contracts were signed in billions.
/content/MediaEval_NewsImages/Training Dataset/UVFQAQtaUEZ-XR8FAA5RXAlWQypTTFAB.jpg	Clancriminality: mass strikes in NRW In Essen there was a mass strike between different great families at night. A large deployment of the police obviously prevented worse. Already on Thursday, a man had been violated in a conflict in the neighbouring Castrop-Rauxel.
/content/MediaEval_NewsImages/Training Dataset/UVFQB19fUBd-XR8FAA5UCghXRntUSFcD.jpg	Suddenly and unexpectedly deceased: The Federal Institute that does not want to know its own data At least twelve minors died shortly after a Corona spray Hundreds of vaccinations fell unexpectedly dead within a few days thereafter. This reveals an unnoticed government response. The data comes from the Paul-Ehrlich-Institut, but this continues to wall and the leading media remain silent.
/content/MediaEval_NewsImages/Training Dataset/UVFQAFleBhZ-XR8FAA5RWVxTRXsATFIG.jpg	The atomical objectives of the Kremlberater As the limit between word and deed in German judiciary is becoming ever more But what the Kremlberater addresses would have to be discussed.
/content/MediaEval_NewsImages/Training Dataset/UVFQAFlbARd-XR8FAA5RXQhTRipSGF4G.jpg	Pentagon-Whistleblower Daniel Ellsberg died at the age of 92 The publication of the Pentagon papers by Daniel Ellsberg in 1971 was probably the largest and most successful data leak in the USA. The distrust towards the US government became part of the feeling of life. On Friday the military analyst, author and peace activist Ellsberg died at the age of 92.
/content/MediaEval_NewsImages/Training Dataset/UVFQBl1dBxMpUUFXBgtWWltSRy0AQQZV.jpg	Putin and War Reporters II: In Europe there is no one to talk to The second part of the talk is about the territory of Ukraine, about office stallions in the Ministry of Defence, the behaviour in the information war and the relationship between Europe and the United States of America.
/content/MediaEval_NewsImages/Training Dataset/UVFQAAhcAEspUUFXBgtXUQtdR3sDGl8B.jpg	Putin's meeting with African leaders on Ukraine conflict At a meeting with Russian President Vladimir Putin on Saturday in Saint Petersburg, a delegation of senior African politicians and officials presented a ten-point peace plan for the Ukraine conflict.
/content/MediaEval_NewsImages/Training Dataset/UVFQAAgJAxN-XR8FAA5SUFhXR3NUTl5d.jpg	U.S. President Joe Biden warns of the overthrown NATO accession of Ukraine While NATO Secretary General Jens Stoltenberg argued for rapid admission without the Membership Action Plan, U.S. President Joe Biden now put on the brakes and demanded that Kiev meet the same standards as everyone else.
/content/MediaEval_NewsImages/Training Dataset/UVFQAAtZVhR-XR8FAA5WWgwAR3hRG1BS.jpg	Anniversary of the U.S. withdrawal becomes Afghan National Day Afghanistan has introduced a new holiday to celebrate the date on which According to information on the website of the Taliban government, the withdrawal of foreign troops will be at 31st each year. August celebrated.
/content/MediaEval_NewsImages/Training Dataset/UVFQAVwIAUR-XR8FAA5SD1oBR31WHwJU.jpg	All want peace – and Germany moves into war Although all parties involved in the conflict continue to seek peace in Ukraine Each side has other ideas about peace and the conditions for negotiations. Why does the German peace movement have no influence on development?
/content/MediaEval_NewsImages/Training Dataset/UVFQAA1UBBQpUUFXBgtRD1hVQHNTSAZc.jpg	Anti-Semitism Commissioner wants concert ban on Rammstein According to the accusations against Rammstein singer Till Lindemann, the Federal Government's anti-Semitism officer Felix Klein spoke out for a concert ban on the music group. Klein indirectly subordinated anti-Semitism and racism to the singer.
/content/MediaEval_NewsImages/Training Dataset/UVFQAVBZUER-XR8FAA5RX19QRXlcSwFQ.jpg	Russian Deputy Minister: Western currencies lose influence on Russia In an interview for RT on Friday, the Deputy Minister for Economic Development of Russia Vladimir Ilyichev said that the dollar and the euro have lost their previous dominance in Russian payments due to the US sanctions policy.
/content/MediaEval_NewsImages/Training Dataset/UVFQAA9ZBkEpUUFXBgtQUVpSQ3xcS1dc.jpg	Police examines appearance in uniform by Claudia Pechstein on CDU Convention With her politically uncorrected plea for traditional family policy and public security, the sportswoman and policewoman Claudia Pechstein held discussions at the CDU Convention on Saturday. The Federal Police has initiated a statutory audit.
/content/MediaEval_NewsImages/Training Dataset/UVFQAAwPUkYpUUFXBgtWUFkAQyhRGFYH.jpg	Police of Kosovo beats two Serbian youths policemen have beaten two serb The reason for this violence against minors is unclear. The situation in Kosovo escalated when the authorities tried to defend new mayors.
/content/MediaEval_NewsImages/Training Dataset/UVFQAA1ZURF-XR8FAA5RXV1QQXsGQF4H.jpg	Is Saluschny in Germany? Vladimir Putin's answer nourishes speculation Wladimir Putin also replied to the Russian military blogger The answer offers additional material for already existing speculations about the stay Saluschnys in Germany.
/content/MediaEval_NewsImages/Training Dataset/UVFQBloOVkp-XR8FAA5TXVVcQC4BTFdV.jpg	How will the US react after the failure of the Kiev counter offensive? With another escalation nothing can be achieved in this conflict.
/content/MediaEval_NewsImages/Training Dataset/UVFQAQtfUxEpUUFXBgtUUQwGRHJcSAQH.jpg	Germany returns two masks of indigenous people Kogi to Colombia Two masks of the South American people Kogi return from Germany to Colombia. Indigenous artifacts from the 15th century as inalienable. The return takes place when visiting Colombia’s Head of State Gustavo Petro in Berlin.
/content/MediaEval_NewsImages/Training Dataset/UVFQAApbARMpUUFXBgtTX1VdQC4HT1ZS.jpg	US Foreign Minister Blinken visit China US Foreign Minister Blinken is visiting China. The visit takes place in a time of growing tensions. China plans to upgrade Taiwan and provide tensions in Taiwan's street. Germany contributes the escalation course of the USA.
/content/MediaEval_NewsImages/Training Dataset/UVFQAAxVVEApUUFXBgtTX1RURnsAHQRS.jpg	Rostock: Climate activists block cruise ship On Saturday in Rostock there was a spectacular action in which so-called climate activists with inflatables and canoes blocked a cruise ship and delayed its exit by two hours.
/content/MediaEval_NewsImages/Training Dataset/UVFQAAwOXEt-XR8FAA5RXAxSQn1QHAQG.jpg	Western media: Russia has improved its tactics on Ukrainian battlefield The New York Times reports the changed tactics of Russia on the battlefield. Moscow has improved its defense, artillery coordination and air support, which should make it a stronger opponent, especially in defense.
/content/MediaEval_NewsImages/Training Dataset/UVFQAV5YARYpUUFXBgtVWggAQC1XSl8B.jpg	Giuliani: Burisma accountant who revealed Biden's corruption died under mysterious circumstances In January 2020, the retired US prosecutor and former Mayor of New York presented the results of his investigations in the case of Burisma – a Joe Biden and his son Hunter’s corruption scandal. The U.S. justice dragged the case. Meanwhile, the Ukrainian main witness is apparently dead.
/content/MediaEval_NewsImages/Training Dataset/UVFQAQ9YXREpUUFXBgtSCl0HQnpdG1VW.jpg	The constructed reality of SPIEGEL & Co. Thomas Fischer did it. He wrote a media criticism that it has in itself. It's in the SPIEGEL. Although under the heading culture, which is somewhat amazed, but at least. Then a SPIEGEL author wrote a replica. One that didn't have it in itself. She had nothing to offer at all.
/content/MediaEval_NewsImages/Training Dataset/UVFQA11UAUp-XR8FAA5RXQhTRipSGAMB.jpg	Revolt in the West: US media praise Russian defense Especially in the influential U.S. media, reports that recognise the Russian successes in the Ukraine war are growing. The Washington Post analyzes why the first Ukrainian preliminary attempts failed on the Saporoschje front, the New York Post reports on position fights at the Donbass front.
/content/MediaEval_NewsImages/Training Dataset/UVFQA1pbAUV-XR8FAA5RXFRSRXoAGF9d.jpg	Kazakhstan: Bank in Astana after hostage – no injured, attackers arrested An armed man took eight people hostages in a bank in Kazakhstan's capital Astana. After unsuccessful negotiations, the Interior Ministry of Kazakhstan decided to storm the building. Then the hostages were released and the attacker was arrested.
/content/MediaEval_NewsImages/Training Dataset/UVFQA1teAER-XR8FAA5WWgwAR3hRGwZT.jpg	Former Austrian Foreign Minister Kneissl leads Russian think tank Karin Kneissl will head the Russian think tank until 2019 This was announced by the former diplomat as part of the official presentation of the think tank on Friday. GORKI is based at the state university in Saint Petersburg.
/content/MediaEval_NewsImages/Training Dataset/UVFQA19cBEUpUUFXBgtQUVpSQ3xcS1Rd.jpg	China's Foreign Minister: Relations with the USA are at a low point After talking to US Foreign Minister Antony Blinken, the Chinese Foreign Minister Qin Gang said that relations between the two countries have been at the lowest point for more than 40 years. However, the U.S. State Department called the talks open.
/content/MediaEval_NewsImages/Training Dataset/UVFQA19cV0spUUFXBgtTX1RURnsAHQEG.jpg	RT DE-Exclusive: Consequences of Ukrainian attack: 8 civilians injured, a woman dead The Ukrainian troops attacked the city of Donetsk again with the help of Western drones. People die. Very often. It is not that there is a single attack and someone dies. Once in the place, once in another... people die here all the time, said an eyewitness.
/content/MediaEval_NewsImages/Training Dataset/UVFQA19eUBMpUUFXBgtQDAgGQnxRHVZW.jpg	Protests in Germany against anti-Russian government policy, NATO manoeuvres and arms deliveries The German government's policy to support Ukraine is making for an ever more immutable. In many cities, people go to the streets to protest.
/content/MediaEval_NewsImages/Training Dataset/UVFQBA1YXEp-XR8FAA5UCl9cQyhdTl8G.jpg	Lula zu von der Leyen: We need more diplomacy and fewer military interventions! The German Foreign Minister Annalena Baerbock Then the EU Commission President Ursula von der Leyen. In vain. Brazilian President Lula da Silva has his own view.
/content/MediaEval_NewsImages/Training Dataset/UVFQA1lfUEJ-XR8FAA5RX19QRXlcSlQH.jpg	British media: Abramovich delayed promised payment to Ukraine Due to the sanctions imposed on it Abramitsch promised to the Ukraine Now, however, he wants to benefit the victims of war on both sides – but the British authorities are blocking this transaction.
/content/MediaEval_NewsImages/Training Dataset/UVFQAAxVA0cpUUFXBgtXDV1QQ3pUQQYA.jpg	Economist Flassbeck on the shortage of skilled workers: Employers' pension The state does not have the task of providing workers at a low price to employers, says Heiner Flassbeck. Those who need skilled workers must train them. This applies to the individual company, but also to economies as a whole.
/content/MediaEval_NewsImages/Training Dataset/UVFQAw8MVkt-XR8FAA5WWgwAR3hRGwRW.jpg	Causa Pechstein: Friedrich Merz (CDU) enthuses of speech, federal police recognizes homophobic content The criticized Olympic winner and federal police officer does not recognise any violation of the current police service regulation. CDU CEO Merz called the entire performance brillant. Criticism on the content of speech was disgraceful by their employer and members of other parties.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVlZBxEpUUFXBgtQDAgGQnxRHVVU.jpg	For climate targets: possible slaughter of 200,000 cows in Ireland According to a government paper, up to 200,000 cows could be slaughtered to achieve the climate targets for Irish agriculture. A spokeswoman of the Irish Ministry of Agriculture stressed that it was one of several options that you are currently examining.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVtbXEB-XR8FAA5RXglVQHhWSQNU.jpg	West Bank disputes: At least three dead Palestinians At least three Palestinians have been killed. More than two dozen people were injured by shots.
/content/MediaEval_NewsImages/Training Dataset/UVFQA19eVkMpUUFXBgtTWQxSRXtUH1RT.jpg	Hidden in the small print: World Economic Forum demands 75 percent reduction of cars Klaus Schwab's World Economic Forum (WEF) calls for a reduction in private cars to a quarter of the current state. How the goal should be achieved without prohibitions or cost increases remains unclear. Whether the WEF is going to go ahead with a good example and in the future will not be able to travel with private jets to Davos?
/content/MediaEval_NewsImages/Training Dataset/UVFRVV1cUxApUUFXBgtVXl5WRnMBT1UD.jpg	Russian naval rescues marine passengers in the Mediterranean As the Russian Ministry of Defense reports, Russian naval soldiers in the Mediterranean have rescued passengers from a ship in sea emergency. A total of 68 people were taken safe. The Greek Coast Guard confirms the information.
/content/MediaEval_NewsImages/Training Dataset/UVFQA1hfUkApUUFXBgtXDFVTQ3xQSAMB.jpg	Political scientist Petro: causes for Ukraine conflict are national The conflict in Ukraine is initially a national conflict that has its root in the different identity of people in the east and west of the country. Knowledge of the historical origin of the conflict is necessary to be able to satisfy it.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVoIUUcpUUFXBgtUX1tcQXNRTVEG.jpg	Greifswald: Citizens say no to container village for refugees The original plan that the county town of Greifswald could lease land to the county for the construction of container shelters for refugees, was now stopped for two years by a citizens' decision.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV9cVxB-XR8FAA5RUVsBQX1UTgZQ.jpg	Secretary-General Stoltenberg: First no accession of Ukraine to NATO During a visit to Germany, NATO Secretary General Jens Stoltenberg said that there will be no formal invitation to Ukraine at the next NATO summit in Lithuania. But they work on setting up a NATO-Ukraine Council.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVFdXEEpUUFXBgtUDwtdR3NUHFZc.jpg	Media reports: Big fire in the Europe-Park Rust broke out After several apparently violent explosions, a large fire occurred in the Baden-Württemberg leisure park Europa-Park Rust. A smoke column is above the grounds. The park is evacuated, the fire department is on site.
/content/MediaEval_NewsImages/Training Dataset/UVFQA1hZV0p-XR8FAA5RXFRSRXoAGFBQ.jpg	AFP: Ukraine conflict has revealed gaps in Europe air defense The newspaper AFP reported that the conflict in Ukraine had revealed gaps in European air defense. Western countries have significantly reduced their anti-aircraft forces since the Cold War, but now there is a demand for this.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV9bVEopUUFXBgtUXgwGRXJcTgFV.jpg	China's Prime Minister Li Qiang visits Germany and France For five days, Chinese Prime Minister Li Qiang visits the EU. He meets with political representatives in Germany and France. The talks are about finding a solution for the Ukraine conflict and for economic cooperation.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV5cURR-XR8FAA5RXV1QQXsGGFZc.jpg	The forgotten miracle: What the history of Germany wanted to teach after 1945 On 22.06.1941 Germany attacked the Soviet Union and led the bloodiest war of world history against the Russian people for almost four years. 82 years later, German weapons are killing Russian soldiers and civilians. Can this ever be forgiven and forgiven, as happened after 1945?
/content/MediaEval_NewsImages/Training Dataset/UVFRVVxZVEspUUFXBgtUX1tWQXhTT1Zc.jpg	Belarus introduces chemical castration for paedophiles The Belarusian Prosecutor's Office informed that changes to the Criminal Code were prepared, which provided for a forced treatment of paedophiles. The algorithm for the treatment also provides for chemical castration.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV0LUUB-XR8FAA5WWgwAR3hRGwEB.jpg	After cyberattack: Newspapers of the Rheinische Post Media group with emergency expenditure A cyber attack on the IT service provider of the Rheinische Post Mediengruppe prevented the newspapers from reporting in usual manner on Monday. Instead, there were only emergency expenditures of the titles concerned.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV4LVhF-XR8FAA5RXQhTRipSG1RS.jpg	Blinken in China: USA do not support Taiwan's independence At the meeting with Chinese President Xi Jinping, US Foreign Minister Antony Blinken stated that the US does not support the independence of Taiwan and do not want to conflict with China. The conflict around Taiwan would lead to an economic crisis, says Blinken.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVkLXRYpUUFXBgtTWQxSRXtUH1ME.jpg	Moscow: Stationing of nuclear weapons in Belarus is unlimited The agreement on the presence of Russian tactical nuclear weapons in Belarus has no time frame, says the Russian Ministry of Foreign Affairs. A withdrawal of nuclear weapons is only possible if the US and NATO changed their course.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV5dBBd-XR8FAA5RXAlWQypTT1Rd.jpg	Opposition Party Șor declared illegal in Moldova The Moldovan Constitutional Court ordered the opposition party Șor as illegal. Party members now have the right to object to the prohibition of activity before the European Court of Human Rights.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVwLXRF-XR8FAA5RXV1QQXsGGFdc.jpg	Salman Rushdie Gets Peace Prize of the German Book Trade Salman Rushdie receives this year's peace price of the German book trade. Last summer, the British Indian writer had become a victim of an assassination in which he was seriously injured. Rushdie is to receive the award in autumn in Frankfurt's Paulskirche.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV1ZUEcpUUFXBgtUXloERi4GS1RQ.jpg	Only the Escalation Obligated – Maybrit Illner discusses the Ukrainian counter-offensive Maybrit Illner discussed the Ukrainian counterparts. You agree: the war will last a long time, weapons must be delivered, the images become more cruel. The tip to the audience: get used to it! Diplomatically, however, Germany is a total failure.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVsOAEJ-XR8FAA5RX19QRXlcSlBd.jpg	Estimated 21,000 instead of 8,000 knife attacks – muzzle for the police? According to a search statistics of the online magazine Tichys insight Among other things, the figures of the national criminal offices indicate.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVsIV0B-XR8FAA5RXAlWQypTTAEH.jpg	Minor IS-sympathizers should have planned attack on Vienna Pride feed train The investigations of the Austrian Constitutional Protection revealed that several people wanted to practise an armed attack on the parade. The suspects who have been arrested are therefore 14, 17 and 20 years old.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV8MAEUpUUFXBgtUX1tcQXNRTV8B.jpg	Kahlschlag bei Springer: site closures and AI on the rise The declining figures for products from the daily press do not pass the Springer Group – now the company focuses on location and job strokes and the use of artificial intelligence. A low three-digit number should be released to employees.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV0OXUt-XR8FAA5RXFRSRXoAGARV.jpg	Ukrainian Held from Mariupol beats woman in the Czech Republic In the Czech Republic, a drunken Ukrainian who pretended to be a money from Mariupol beat two people, including a woman. They should have refused to give him a cigarette.
/content/MediaEval_NewsImages/Training Dataset/UVFRVQoIBkopUUFXBgtWDQ8HRi5STVID.jpg	Blinken, Scholz and visits to and from China Suddenly hectic diplomatic activity develops. The number of BRICS membership applications increases daily, as well as the number of countries that want to dispense with the dollar in their trade. And the focus of this activity is China.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVpUVhcpUUFXBgtUXA8BQi1TSAUD.jpg	Report: Hundreds of Belarusians are trained abroad to overthrow Lukashenko According to this, the training is carried out by BYPOL – an organization founded by former Belarusian intelligence agencies.
/content/MediaEval_NewsImages/Training Dataset/UVFRVQtfXBcpUUFXBgtUXA9TRXJQHQNS.jpg	Israel expresses glorification of Nazi collaborators by Ukraine Israel complained, if small-laut, Ukraine The Israeli ambassador admitted that this could hardly be stopped. One of the aims of Russia in Ukraine is permanent denazification.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV9YURMpUUFXBgtWW1xXR3tXTVJX.jpg	Contract signed: Uzbekistan buys 2.8 billion cubic meters of Russian gas per year Usbekistan has agreed to buy around 2.8 billion gas for two years This was shared by the Uzbek Ministry of Energy on Monday. For this purpose, a roadmap for the further development of the gas transport system of the country is also to be implemented.
/content/MediaEval_NewsImages/Training Dataset/UVFQA1teURYpUUFXBgtXDAtQRnNRSgJS.jpg	Poland under PiS: revisionism to tear down the last bridges 2023 is election year in Poland – and the pressure is growing on all sides. The PiS government puts all the levers in motion to discredit the opposition. Even the recent Russian-Polish history of the volatile phase of peace is turned by the revisionist meat grinder.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFxUAUt-XR8FAA5RCg8DQngAGFZX.jpg	Bordeaux: 73-year-old and granddaughter brutally attacked The attack by an unknown woman and her granddaughter took place on Monday on open street. The attack was taken by a surveillance camera.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF4JB0QpUUFXBgtRWw5URS1XG19Q.jpg	Moscow: Kiev plans attack on Russia with Western missiles As the Russian Minister of Defence Sergei Schoigu explains, the leadership of the Ukrainian armed forces intends to attack Russian territory including Crimea with HIMARS and Storm-Shadow missiles.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF4OBxZ-XR8FAA5TDFUAQ3JUG1FQ.jpg	UN Chief Condemns Approval of settlements in the Israeli occupied West Bank The right-religious government of Benjamin Netanyahu has approved illegal steps to facilitate settlement expansion in the Israeli occupied West Bank. The UN Secretary-General António Guterres is deeply concerned about this.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF5aVEJ-XR8FAA5RXQ5WRCoGTVZT.jpg	Constitutional Protection Report 2022: Diversing within phenomena The number of crimes with an extremist background has risen slightly overall. In left extremism, inhibitory thresholds had fallen, political opponents, but also the police were attacking with great brutality..
/content/MediaEval_NewsImages/Training Dataset/UVFRVFBaB0B-XR8FAA5UDQ5VRHlQQFJR.jpg	Global network tortured and killed baby monkeys for videos A research team at BBC has discovered a worldwide torture ring extending from Indonesia to the United States. Victims were small hoodies that were brutally tortured and killed for ordered torture videos.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF4IUUJ-XR8FAA5RXAxSQn1QH19T.jpg	Is Germany on the way to the developing country? Experts say “yes” The German economy hardly leaves the crisis mode. If so, the upswing remains weak. An ideology of saving prevents investment, but it would be necessary to restore productivity growth. Germany is rising.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAhbV0B-XR8FAA5TDFUAQ3JUG19T.jpg	Russian companies report record revenues of eight times GDP In 2022, Russian companies reported an increase in revenue to a quadrillion ruble. This sum exceeds the country's GDP by eight times. However, the increase in profits was not so impressive.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF9UUBB-XR8FAA5RUVRRRnhdGwEB.jpg	Can't you get English? – Moderator Klamroth mocked by migrants harassed women The round of talks about hard but fair from Monday was about conflicts between men and women. When a CDU-communal politician pointed out their bad experiences with Muslim migrants, moderator Klamroth had left only a spot for the young woman.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF5dUkN-XR8FAA5RXQhTRipSG1BW.jpg	Strong population growth in Germany mainly due to immigration from Ukraine In Germany there is a significant increase in population, but this is not due to a rise in birth among Germans, but to an increase in immigration. The higher death rate compared to the birth rate has also increased.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFwLUUZ-XR8FAA5RCg8DQngAGFZQ.jpg	USA in competition with China: Biden receives India's Prime Minister Modi The decision by the US government under Joe Biden to invite the Indian Prime Minister to a state visit clearly indicates the importance that the US attaches to the Indian subcontinent in order to curb China's growing strategic influence in the Pacific Ocean.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVwLAEZ-XR8FAA5RCg8DQngAQARd.jpg	Green Party of Ireland calls for restriction of the right to free expression The Irish Greens, part of a coalition government, advocate the restriction of freedom of expression. In this way, they support a tendency to criminalise divergent expressions of opinion throughout the West.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV0OBBd-XR8FAA5RXQhTRipSG1cD.jpg	Chinese drone manufacturers could start production in Russia Chinese drone manufacturers are interested in opening factories in Russia. Some experts believe that localisation is only worthwhile with state support, others believe that this can solve problems with certification.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF1eVBEpUUFXBgtWXl8GRXNQSVFQ.jpg	Drama at the Titanic Wreck: Expedition dive boat is missing – acute oxygen problems The contact to the submarine has already stopped on Sunday morning. There are five people on board, including the British billionaire Hamish Harding. Problem number one is the steadily decreasing amount of oxygen. According to the US Coast Guard, some 70 hours of time should remain for the possible rescue.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFxbUREpUUFXBgtTDFUGR3oBTgJV.jpg	General Electric introduces gas turbine maintenance in Russian thermal power plants According to a media report, the US company General Electric power plants ceased the maintenance of its gas turbines.
/content/MediaEval_NewsImages/Training Dataset/UVFRVQtcVkspUUFXBgtUX1tcQXNRTQQH.jpg	Repression in Ukraine: Criminal doctor sentenced to 15 years in prison 
/content/MediaEval_NewsImages/Training Dataset/UVFRVAtZUREpUUFXBgtSC1QGQ3xRTARQ.jpg	USA: Hunter Biden accused of tax and firearm crimes According to media reports, he has already reached agreement with the U.S. Department of Justice, according to which he will be guilty.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFBfAER-XR8FAA5QCg9VR3JTTFJW.jpg	Estonia legalizes same-sex marriages From next year, citizens can enter Estonia in equal-sex marriages. An appropriate law has passed the Estonian Parliament despite the resistance of the right opposition.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF4OBkF-XR8FAA5RCg8DQngAGFRW.jpg	Media: EU prepares financial support of EUR 50 billion for Kiev This appropriation is intended to cover measures to strengthen the rule of law and to combat corruption.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF5dU0EpUUFXBgtTDFUGR3oBTgFT.jpg	Russian customs service: China, India, Turkey and Azerbaijan are releasing the EU in foreign trade In Russian foreign trade, countries such as China, India, Turkey and Azerbaijan replace the EU states, the interim leader of the federal customs service FTS shares with RIA Nowosti. Trade with China could reach $200 billion this year.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFEIXRN-XR8FAA5RXAlWQypTT15T.jpg	RT-Exclusive: refugee accommodation destroyed with NATO marching bodies – Survival berichtеn After Kachovka's dam on June 6th, dozens of families were evacuated into a holiday camp in the Cherson area. In the night of June 9 Kiev's forces committed a brutal war crime: They fired missiles on the three-storey capital building with sleeping civilians and almost completely destroyed him. A girl and a woman died.
/content/MediaEval_NewsImages/Training Dataset/UVFRVVBbV0F-XR8FAA5RUVRRRnhdGwMA.jpg	Russia's Ambassador to Kenya: West robbs Africa In an RT interview, the Russian ambassador in Kenya, Dmitri Maximytschew, declared that the West would deliberately not want to change the situation in developing countries. In particular, African countries would be deprived.
/content/MediaEval_NewsImages/Training Dataset/UVFRVV5UAxQpUUFXBgtWDV1dRXoHHFUG.jpg	The failure of Western tanks in Ukraine – a systemic problem The lack of performance of Western tanks in Ukraine has little to do with their technical data. Rather, it is a fundamental problem of the Ukrainian military, where even further supplies of weapons from the West will not change anything.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAsMVEIpUUFXBgtQWFxdQi5UHVVR.jpg	Decoupling from China – Huawei again in focus While high-ranking representatives of the West are advocating that a technological decoupling of China is not planned, a new German advance against Huawei indicates exactly that. A decoupling would have a serious impact on the German economy.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF5UVkF-XR8FAA5RXglVQHhWSFMD.jpg	Biden: The risk of nuclear weapons in Ukraine is real When visiting California, Joe Biden expressed fears that Vladimir Putin could use tactical nuclear weapons in the Ukraine war. The threats of the Russian President called Biden real.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAtbUEt-XR8FAA5TDFUAQ3JUG14G.jpg	Russia: Four people died in explosion in powder factory in Tambow In southern Russia in the city of Kotovsk an explosion occurred, the governor told the area. The accident was not caused by a terrorist attack, but by human failure. At least four people were killed and two others were wounded.
/content/MediaEval_NewsImages/Training Dataset/UVFRVApVXRF-XR8FAA5UCgkARXMBG1BU.jpg	First Russian soldier receives money reward for the destruction of a leopard pen The Russian soldier Andrei Krawzow had recently destroyed a German leopard 2 tank of the Ukrainian armed forces. He was rewarded with a million rubles. The award was created by a fund.
/content/MediaEval_NewsImages/Training Dataset/UVFQAVALBBQpUUFXBgtSDFtSRi5TSAEE.jpg	From capitalism criticism to the woken establishment – Why did the German left fail? The left is itself part of what it actually wanted to combat. As it could happen, he analyzed with the Bundestag member Andrej Hunko during the conversation with the publisher Hannes Hofbauer.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFAOXEopUUFXBgtWXl8GRXNQSQZX.jpg	Travel diplomacy: German President Steinmeier wants to strengthen German influence in Kazakhstan The Federal President visits Central Asia these days. Germany wants to strengthen its influence in the region. First stop of the trip is Kazakhstan. The country is a corridor for the Chinese project New Silk Road and does not participate in the anti-Russian sanctions of the West.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFBcVhMpUUFXBgtSC1QGQ3xRTF4E.jpg	Beijing angry: High British official meets Taiwanese Minister The State Secretary for Security Tom Tugendhat in the British Ministry of Interior met the Taiwanese digital minister – a meeting that contradicts the UK's previously practiced foreign policy line and annoyed the government in Beijing.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAhYVEp-XR8FAA5TDFUAQ3JUG19U.jpg	Persistent silence: Germany pays eight billion to the UN – but for what? The theory states that in 2022 Germany provided 8.1 billion euros as part of a UN climate financing to help combat the alleged effects of the global climate crisis. However, media demand for these projects is not answered. Surprise research results.
